Species	SisterSpecies	SampleName	Location	DisplayName	SampleSize	k
Chlorocebus_sabaeus	Macaca_mulatta	Barbados	Barbados	Barbados	5	16
Chlorocebus_sabaeus	Macaca_mulatta	Central_African_Republic	Central African Republic	Central Afr. Rep.	11	16
Chlorocebus_sabaeus	Macaca_mulatta	Ethiopia	Ethiopia	Ethiopia	16	16
Chlorocebus_sabaeus	Macaca_mulatta	Gambia	Gambia	Gambia	22	16
Chlorocebus_sabaeus	Macaca_mulatta	Kenya	Kenya	Kenya	4	16
Chlorocebus_sabaeus	Macaca_mulatta	Nevis	Nevis	Nevis	12	16
Chlorocebus_sabaeus	Macaca_mulatta	Saint_Kitts	Saint Kitts	Saint Kitts	22	16
Chlorocebus_sabaeus	Macaca_mulatta	South_Africa	South Africa	South Africa	49	16
Chlorocebus_sabaeus	Macaca_mulatta	Zambia	Zambia	Zambia	16	16
Homo_sapiens	Pan_troglodytes	AFR	African	African	661	16
Homo_sapiens	Pan_troglodytes	AMR	Admixed American	Admixed American	347	16
Homo_sapiens	Pan_troglodytes	EAS	East Asian	East Asian	504	16
Homo_sapiens	Pan_troglodytes	EUR	European	European	503	16
Homo_sapiens	Pan_troglodytes	SAS	South Asian	South Asian	489	16
Bos_taurus	Bison_bison_bison	IRBT	Iran	Iran	9	16
Bos_taurus	Bison_bison_bison	UGBT	Uganda	Uganda	25	16
Equus_caballus	Ceratotherium_simum_simum	up	Diverse	Equus c.	6	16
Ovis_aries	Pantholops_hodgsonii	IROA	Iran	Iran	20	16
Ovis_aries	Pantholops_hodgsonii	IROO	Iran	Iran (O. orientalis)	19	16
Ovis_aries	Pantholops_hodgsonii	ISGC	Various	Various	75	16
Ovis_aries	Pantholops_hodgsonii	IROV	Iran	Iran (O. vignei)	4	16
Ovis_aries	Pantholops_hodgsonii	MOOA	Morocco	Morocco	160	16
Capra_hircus	Pantholops_hodgsonii	IRCA	Iran	Iran (C. aegagrus)	22	16
Capra_hircus	Pantholops_hodgsonii	IRCH	Iran	Iran	20	16
Capra_hircus	Pantholops_hodgsonii	AUCH	Australia	Australia	5	16
Capra_hircus	Pantholops_hodgsonii	FRCH	France	France	4	16
Capra_hircus	Pantholops_hodgsonii	ITCH	Italy	Italy	5	16
Capra_hircus	Pantholops_hodgsonii	MOCH	Morocco	Morocco	161	16
Canis_familiaris	Ursus_maritimus	dogs	Diverse	Canis f.	238	16
